"날짜","검사자 수"
"2020-02-08","14"
"2020-02-09","18"
"2020-02-10","18"
"2020-02-11","19"
"2020-02-12","47"
"2020-02-13","31"
"2020-02-14","22"
"2020-02-15","44"
"2020-02-16","22"
"2020-02-17","32"
"2020-02-18","38"
"2020-02-19","67"
"2020-02-20","95"
"2020-02-21","148"
"2020-02-22","267"
"2020-02-23","163"
"2020-02-24","228"
"2020-02-25","569"
"2020-02-26","516"
"2020-02-27","535"
"2020-02-28","461"
"2020-02-29","893"
"2020-03-01","786"
"2020-03-02","564"
"2020-03-03","655"
"2020-03-04","752"
"2020-03-05","790"
"2020-03-06","302"
"2020-03-07","462"
"2020-03-08","339"
"2020-03-09","465"
"2020-03-10","434"
"2020-03-11","678"
"2020-03-12","699"
"2020-03-13","403"
"2020-03-14","311"
"2020-03-15","217"
"2020-03-16","336"
"2020-03-17","550"
"2020-03-18","314"
"2020-03-19","340"
"2020-03-20","338"
"2020-03-21","243"
"2020-03-22","122"
"2020-03-23","304"
"2020-03-24","377"
"2020-03-25","544"
"2020-03-26","453"
"2020-03-27","553"
"2020-03-28","373"
"2020-03-29","288"
"2020-03-30","514"
"2020-03-31","578"
"2020-04-01","610"
"2020-04-02","437"
"2020-04-03","699"
"2020-04-04","648"
"2020-04-05","386"
"2020-04-06","552"
"2020-04-07","607"
"2020-04-08","585"
"2020-04-09","576"
"2020-04-10","600"
"2020-04-11","385"
"2020-04-12","435"
"2020-04-13","561"
"2020-04-14","502"
"2020-04-15","345"
"2020-04-16","466"
"2020-04-17","407"
"2020-04-18","407"
"2020-04-19","371"
"2020-04-20","509"
"2020-04-21","454"
"2020-04-22","489"
"2020-04-23","449"
"2020-04-24","461"
"2020-04-25","494"
"2020-04-26","252"
"2020-04-27","383"
"2020-04-28","431"
"2020-04-29","419"
"2020-04-30","312"
"2020-05-01","333"
"2020-05-02","488"
"2020-05-03","294"
"2020-05-04","351"
"2020-05-05","336"
"2020-05-06","415"
"2020-05-07","412"
"2020-05-08","471"
"2020-05-09","449"
"2020-05-10","458"
"2020-05-11","548"
"2020-05-12","1002"
"2020-05-13","1368"
"2020-05-14","1344"
"2020-05-15","1408"
"2020-05-16","877"
"2020-05-17","551"
"2020-05-18","881"
"2020-05-19","1512"
"2020-05-20","1226"
"2020-05-21","3619"
"2020-05-22","4376"
"2020-05-23","1274"
"2020-05-24","703"
"2020-05-25","958"
"2020-05-26","1228"
"2020-05-27","1933"
"2020-05-28","2094"
"2020-05-29","2108"
"2020-05-30","1413"
"2020-05-31","1246"
"2020-06-01","2738"
"2020-06-02","1244"
"2020-06-03","1847"
"2020-06-04","2997"
"2020-06-05","1846"
"2020-06-06","1578"
"2020-06-07","1410"
"2020-06-08","1021"
"2020-06-09","1255"
"2020-06-10","1666"
"2020-06-11","1486"
"2020-06-12","1359"
"2020-06-13","820"
"2020-06-14","824"
"2020-06-15","669"
"2020-06-16","815"
"2020-06-17","764"
"2020-06-18","1105"
"2020-06-19","601"
"2020-06-20","621"
"2020-06-21","459"
"2020-06-22","558"
"2020-06-23","743"
"2020-06-24","787"
"2020-06-25","757"
"2020-06-26","896"
"2020-06-27","840"
"2020-06-28","464"
"2020-06-29","777"
"2020-06-30","736"
"2020-07-01","539"
"2020-07-02","604"
"2020-07-03","672"
"2020-07-04","420"
"2020-07-05","343"
"2020-07-06","743"
"2020-07-07","1155"
"2020-07-08","974"
"2020-07-09","993"
"2020-07-10","573"
"2020-07-11","503"
"2020-07-12","261"
"2020-07-13","539"
"2020-07-14","633"
"2020-07-15","478"
"2020-07-16","575"
"2020-07-17","578"
"2020-07-18","433"
"2020-07-19","210"
"2020-07-20","584"
"2020-07-21","772"
"2020-07-22","617"
"2020-07-23","461"
"2020-07-24","753"
"2020-07-25","481"
"2020-07-26","364"
"2020-07-27","623"
"2020-07-28","633"
"2020-07-29","721"
"2020-07-30","547"
"2020-07-31","566"
"2020-08-01","373"
"2020-08-02","242"
"2020-08-03","505"
"2020-08-04","610"
"2020-08-05","469"
"2020-08-06","473"
"2020-08-07","395"
"2020-08-08","262"
"2020-08-09","214"
"2020-08-10","414"
"2020-08-11","501"
"2020-08-12","566"
"2020-08-13","427"
"2020-08-14","551"
"2020-08-15","682"
"2020-08-16","782"
"2020-08-17","638"
"2020-08-18","968"
"2020-08-19","1021"
"2020-08-20","951"
"2020-08-21","1699"
"2020-08-22","1852"
"2020-08-23","1387"
"2020-08-24","1057"
"2020-08-25","1485"
"2020-08-26","1579"
"2020-08-27","1386"
"2020-08-28","1378"
"2020-08-29","1239"
